Goodyera rubicunda (Blume) Lindl.	ORCHIDACEAE(蘭科)\n毛苞斑葉蘭\n長苞斑葉蘭 
Tectaria kwarenkoensis (Hayata) C. Chr.	ASPIDIACEAE\n花蓮三叉蕨 
Tectaria phaeocaulis (Rosenst.) C. Chr.	ASPIDIACEAE\n蛇脈三叉蕨 
Tectaria polymorpha (Wall.) Copel.	ASPIDIACEAE\n南投三叉蕨 
Tectaria subtriphylla (Hook. & Arn.) Copel.	ASPIDIACEAE\n三叉蕨 
Tectaria subtriphylla (Hook. & Arn.) Copel. var. ebenosa (Nakai) Nemoto	ASPIDIACEAE\n紫柄三叉蕨 
Tectaria variolosa (Wall.) C. Chr.	ASPIDIACEAE\n變葉三叉蕨 
Tectaria yunnanensis (Bak.) Ching	ASPIDIACEAE\n雲南三叉蕨 
Tectaria griffithii (Bak.) C. Chr.	ASPIDIACEAE\n葛氏三叉蕨 
Tectaria subfuscipes (Tagawa) Kuo	ASPIDIACEAE\n排灣三叉蕨 
Acrophorus stipellatus (Wall.) Moore	DRYOPTERIDACEAE\n魚鱗蕨 
Acrophorus macrocarpus Ching	DRYOPTERIDACEAE\n大孢魚鱗蕨 
Acrorumohra diffracta (Bak.) H. Ito	DRYOPTERIDACEAE\n彎柄假複葉耳蕨 
Acrorumohra hasseltii (Blume) Ching	DRYOPTERIDACEAE\n哈氏假複葉耳蕨 
Acrorumohra subreflexipinna (Ogata) H. Ito	DRYOPTERIDACEAE\n微彎假複葉耳蕨 
Acrorumohra yoroii (Serizawa) Shieh	DRYOPTERIDACEAE\n玉山假複葉耳蕨 
Arachniodes aristata (Forst.) Tindle	DRYOPTERIDACEAE\n細葉複葉耳蕨 
Arachniodes festina (Hance) Ching	DRYOPTERIDACEAE\n台灣兩面複葉耳蕨 
Arachniodes globisora (Hayata) Ching	DRYOPTERIDACEAE\n台灣複葉耳蕨 
Arachniodes nigrospinosa (Ching) Ching	DRYOPTERIDACEAE\n黑鱗複葉耳蕨 
Arachniodes pseudoaristata (Tagawa) Ohwi	DRYOPTERIDACEAE\n小葉複葉耳蕨 
Arachniodes rhomboides (Wall.) Ching	DRYOPTERIDACEAE\n斜方複葉耳蕨 
Arachniodes rhomboides (Wall.) Ching var. yakusimensis (H. Ito) Shieh	DRYOPTERIDACEAE\n屋久複葉耳蕨 
Cyrtogonellum fraxinellum (Christ) Ching	DRYOPTERIDACEAE\n柳葉蕨 
Cyrtomium caryotideum (Wall.) Presl	DRYOPTERIDACEAE\n細齒貫眾蕨 
Cyrtomium falcatum (L. f.) Presl	DRYOPTERIDACEAE\n全緣貫眾蕨 
Cyrtomium hookerianum (Presl) C. Chr.	DRYOPTERIDACEAE\n狹葉貫眾蕨 
Cyrtomium macrophyllum (Makino) Tagawa var. acuminatum (Diels) Tagawa	DRYOPTERIDACEAE\n尖葉貫眾蕨 
Cyrtomium taiwanense Tagawa	DRYOPTERIDACEAE\n台灣貫眾蕨 
Diacalpe aspidioides Bl.	DRYOPTERIDACEAE\n紅線蕨 
Dryopteris alpestris Tagawa	DRYOPTERIDACEAE\n腺鱗毛蕨 
Dryopteris atrata (Wall.) Ching	DRYOPTERIDACEAE\n桫欏鱗毛蕨 
Dryopteris austriaca (Jacq.) Woynar ex Schinz & Thell.	DRYOPTERIDACEAE\n闊葉鱗毛蕨 
Dryopteris barbigera (Hook.) Ktze.	DRYOPTERIDACEAE\n密毛鱗毛蕨 
Dryopteris chrysocoma (Christ) C. Chr.	DRYOPTERIDACEAE\n擬岩蕨 
Dryopteris costalisora Tagawa	DRYOPTERIDACEAE\n能高鱗毛蕨 
Dryopteris enneaphylla (Bak.) C. Chr.	DRYOPTERIDACEAE\n頂羽鱗毛蕨 
Dryopteris enneaphylla (Bak.) C. Chr. var. pseudosieboldii (Hayata) Tagawa & Iwats.	DRYOPTERIDACEAE\n大頂羽鱗毛蕨 
Dryopteris fibrillosa (Clarke) Hand.-Mzt.	DRYOPTERIDACEAE\n密鱗鱗毛蕨 
Dryopteris formosana (Christ) C. Chr.	DRYOPTERIDACEAE\n台灣鱗毛蕨 
Dryopteris hendersonii (Beddome) C. Chr.	DRYOPTERIDACEAE\n小苞鱗毛蕨 
Dryopteris hypophlebia Hayata	DRYOPTERIDACEAE\n深山鱗毛蕨 
Dryopteris labordei (Christ) C. Chr.	DRYOPTERIDACEAE\n疏葉鱗毛蕨 
Dryopteris lepidopoda Hayata	DRYOPTERIDACEAE\n厚葉鱗毛蕨 
Dryopteris marginata (Wall.) Christ	DRYOPTERIDACEAE\n三角葉鱗毛蕨 
Dryopteris polita Rosenst.	DRYOPTERIDACEAE\n台東鱗毛蕨 
Dryopteris reflexosquamata Hayata	DRYOPTERIDACEAE\n逆鱗鱗毛蕨 
Dryopteris scottii (Beddome) Ching	DRYOPTERIDACEAE\n史氏鱗毛蕨 
Dryopteris serratodentata (Beddome) Hayata	DRYOPTERIDACEAE\n鋸齒葉鱗毛蕨 
Dryopteris sordidipes Tagawa	DRYOPTERIDACEAE\n落鱗鱗毛蕨 
Dryopteris sparsa (Don) Ktze.	DRYOPTERIDACEAE\n長葉鱗毛蕨 
Dryopteris squamiseta (Hook.) Ktze.	DRYOPTERIDACEAE\n阿里山鱗毛蕨 
Dryopteris subatrata Tagawa	DRYOPTERIDACEAE\n細葉鱗毛蕨 
Dryopteris subexaltata (Christ) C. Chr.	DRYOPTERIDACEAE\n早田氏鱗毛蕨 
Dryopteris subintegriloba Serizawa	DRYOPTERIDACEAE\n蓬萊鱗毛蕨\n紅苞鱗毛蕨\n蓬萊紅苞鱗毛蕨
Dryopteris tenuipes (Rosenst.) Serizawa	DRYOPTERIDACEAE\n落葉鱗毛蕨 
Dryopteris toyamae Tagawa	DRYOPTERIDACEAE\n外山氏鱗毛蕨 
Dryopteris varia (L.) Ktze.	DRYOPTERIDACEAE\n南海鱗毛蕨 
Dryopteris wallichiana (Spr.) Alston & Bonner	DRYOPTERIDACEAE\n瓦氏鱗毛蕨 
Dryopteris lacera (Thunb.) Kuntze	DRYOPTERIDACEAE\n二型鱗毛蕨 
Leptorumohra quadripinnata (Hayata) H. Ito	DRYOPTERIDACEAE\n毛苞擬複葉耳蕨 
Peranema cyatheoides Don	DRYOPTERIDACEAE\n柄囊蕨 
Polystichum acanthophyllum (Franch.) Christ	DRYOPTERIDACEAE\n針葉耳蕨 
Polystichum acutidens Christ	DRYOPTERIDACEAE\n台東耳蕨 
Polystichum biaristatum (Bl.) Moore	DRYOPTERIDACEAE\n二尖耳蕨 
Polystichum deltodon (Bak.) Diels	DRYOPTERIDACEAE\n對生耳蕨 
Polystichum duthiei (Hope) C. Chr.	DRYOPTERIDACEAE\n杜氏耳蕨 
Polystichum eximium (Mett. & Kuhn) C. Chr.	DRYOPTERIDACEAE\n阿里山耳蕨 
Polystichum formosanum Rosenst.	DRYOPTERIDACEAE\n台灣耳蕨 
Polystichum hancockii (Hance) Diels	DRYOPTERIDACEAE\n韓氏耳蕨 
Polystichum hecatopterum Diels	DRYOPTERIDACEAE\n鋸齒葉耳蕨 
Polystichum inaense (Tagawa) Tagawa	DRYOPTERIDACEAE\n小耳蕨 
Polystichum kiusiuense Tagawa	DRYOPTERIDACEAE\n九州耳蕨 
Polystichum lachenense (Hook.) Bedd.	DRYOPTERIDACEAE\n高山耳蕨 
Polystichum lepidocaulon (Hook.) J. Sm.	DRYOPTERIDACEAE\n鞭葉耳蕨 
Polystichum manmeiense (Christ.) Nakaike	DRYOPTERIDACEAE\n鐮葉耳蕨 
Polystichum morii Hayata	DRYOPTERIDACEAE\n玉山耳蕨 
Polystichum neolobatum Nakai	DRYOPTERIDACEAE\n硬葉耳蕨 
Polystichum nepalense (Spreng.) C. Chr.	DRYOPTERIDACEAE\n軟骨耳蕨 
Polystichum obliquum (Don) Moore	DRYOPTERIDACEAE\n知本耳蕨 
Polystichum parvipinnulum Tagawa	DRYOPTERIDACEAE\n尖葉耳蕨 
Polystichum piceopaleaceum Tagawa	DRYOPTERIDACEAE\n黑鱗耳蕨 
Polystichum prescottianum (Wall. ex Mett.) Moore	DRYOPTERIDACEAE\n南湖耳蕨 
Polystichum prionolepis Hayata	DRYOPTERIDACEAE\n鋸葉耳蕨 
Polystichum stenophyllum Christ	DRYOPTERIDACEAE\n芽胞耳蕨 
Polystichum tacticopterum (Kunze) T. Moore	DRYOPTERIDACEAE\n兒玉氏耳蕨 
Polystichum thomsonii (Hook. f.) Bedd.	DRYOPTERIDACEAE\n尾葉耳蕨 
Polystichum tsussimense (Hook.) J. Sm.	DRYOPTERIDACEAE\n馬祖耳蕨 
Polystichum wilsonii Christ	DRYOPTERIDACEAE\n福山氏耳蕨 
Polystichum xiphophyllum (Bak.) Diels	DRYOPTERIDACEAE\n關山耳蕨 
Dryopsis fauriei Holttum & Edwards	DRYOPTERIDACEAE\n擬鱗毛蕨 
Bolbitis heteroclita (Pr.) Ching	LOMARIOPSIDACEAE\n尾葉實蕨\n大實蕨\n 
Bolbitis subcordata (Copel.) Ching	LOMARIOPSIDACEAE\n海南實蕨 
Bolbitis angustipinna (Hayata) Ito	LOMARIOPSIDACEAE\n細葉實蕨 
Bolbitis scalpturata (Fée) Ching	LOMARIOPSIDACEAE\n紅柄實蕨 
Bolbitis × nanjenensis Kuo	LOMARIOPSIDACEAE\n南仁刺蕨 
Egenolfia appendiculata (Willd.) J. Sm.	LOMARIOPSIDACEAE\n刺蕨 
Bolbitis × laxireticulata K. Iwats.	LOMARIOPSIDACEAE\n網脈刺蕨 
Egenolfia rhizophylla (Kaulf.) Fée	LOMARIOPSIDACEAE\n大刺蕨 
Elaphoglossum angulatum (Bl.) Moore	LOMARIOPSIDACEAE\n爪哇舌蕨 
Elaphoglossum callifolium (Bl.) Moore	LOMARIOPSIDACEAE\n銳頭舌蕨 
Elaphoglossum conforme (Sw.) Schott	LOMARIOPSIDACEAE\n阿里山舌蕨 
Elaphoglossum lepidopodum C. Chr.	LOMARIOPSIDACEAE\n台灣舌蕨 
Elaphoglossum pendulifolium Tagawa	LOMARIOPSIDACEAE\n垂葉舌蕨 
Elaphoglossum yoshinagae (Yatabe) Makino	LOMARIOPSIDACEAE\n舌蕨 
Elaphoglossum commutatum v. A. v. R	LOMARIOPSIDACEAE\n大葉舌蕨 
Lomariopsis spectabilis (Kze.) Mett.	LOMARIOPSIDACEAE\n羅蔓藤蕨 
Ampelopteris prolifera (Retz.) Copel.	THELYPTERIDACEAE\n星毛蕨 
Cyclosorus acuminatus (Houtt.) Nakai ex H. Ito	THELYPTERIDACEAE\n毛蕨\n小毛蕨\n 
Cyclosorus acuminatus (Houtt.) Nakai var. × acuminatoides Shieh & Tsai	THELYPTERIDACEAE\n賽毛蕨 
Cyclosorus acuminatus (Houtt.) Nakai var. kuliangensis Ching	THELYPTERIDACEAE\n突尖毛蕨 
Cyclosorus aridus (Don) Ching	THELYPTERIDACEAE\n擬毛蕨\n密腺小毛蕨\n 
Cyclosorus dentatus (Forssk.) Ching	THELYPTERIDACEAE\n野毛蕨\n野小毛蕨\n 
Cyclosorus ensifer (Tagawa) Shieh	THELYPTERIDACEAE\n廣葉毛蕨\n微縮小毛蕨\n 
Cyclosorus × intermedius Shieh & Tsai	THELYPTERIDACEAE\n擬密毛毛蕨 
Cyclosorus interruptus (Willd.) H. Ito	THELYPTERIDACEAE\n鐵毛蕨 
Cyclosorus kotoensis (Hayata) Shieh	THELYPTERIDACEAE\n蘭嶼大葉毛蕨 
Cyclosorus papilio (Hope) Ching	THELYPTERIDACEAE\n薄葉梳毛蕨\n縮羽毛蕨\n 
Cyclosorus parasiticus (L.) Farw.	THELYPTERIDACEAE\n密毛毛蕨\n密毛小毛蕨\n 
Cyclosorus subpubescens (Bl.) Ching	THELYPTERIDACEAE\n梳毛蕨\n密腺毛蕨\n 
Cyclosorus taiwanensis (C. Chr.) H. Ito	THELYPTERIDACEAE\n台灣毛蕨\n台灣圓腺蕨\n 
Cyclosorus truncatus (Poir.) Farw.	THELYPTERIDACEAE\n大葉毛蕨\n稀毛蕨\n 
Dictyocline griffithii T. Moore	THELYPTERIDACEAE\n聖蕨 
Dictyocline griffithii T. Moore var. wilfordii (Hook.) T. Moore	THELYPTERIDACEAE\n威氏聖蕨 
Leptogramma pozoi (Lag.) Ching	THELYPTERIDACEAE\n非洲茯蕨 
Leptogramma tottoides H. Ito	THELYPTERIDACEAE\n尾葉茯蕨 
Metathelypteris adscendens (Ching) Ching	THELYPTERIDACEAE\n微毛凸軸蕨 
Metathelypteris gracilescens (Bl.) Ching	THELYPTERIDACEAE\n光葉凸軸蕨 
Parathelypteris angulariloba (Ching) Ching	THELYPTERIDACEAE\n鈍頭副金星蕨 
Parathelypteris angustifrons (Miq.) Ching	THELYPTERIDACEAE\n小梯葉副金星蕨 
Parathelypteris beddomei (Bak.) Ching	THELYPTERIDACEAE\n縮羽副金星蕨 
Parathelypteris castanea (Tagawa) Ching	THELYPTERIDACEAE\n栗柄副金星蕨 
Parathelypteris glanduligera (Kze.) Ching	THELYPTERIDACEAE\n密腺副金星蕨 
Phegopteris connectilis (Michx.) Watt	THELYPTERIDACEAE\n長柄假金星蕨 
Phegopteris decursivepinnata (van Hall) Fée	THELYPTERIDACEAE\n翅軸假金星蕨 
Pronephrium asperum (Pr.) Shieh & Tsai	THELYPTERIDACEAE\n大羽葉新月蕨 
Pronephrium cuspidatum (Bl.) Holtt.	THELYPTERIDACEAE\n頂芽新月蕨\n琉球新月蕨\n 
Pronephrium insularis (K. Iwats.) Holtt.	THELYPTERIDACEAE\n變葉新月蕨 
Pronephrium longipetiolatum (K. Iwats.) Holtt.	THELYPTERIDACEAE\n長柄新月蕨 
Pronephrium simplex (Hook.) Holtt.	THELYPTERIDACEAE\n單葉新月蕨 
Pronephrium triphyllum (Sw.) Holtt.	THELYPTERIDACEAE\n新月蕨\n三葉新月蕨\n 
Pronephrium triphyllum (Sw.) Holtt. var. parishii (Bedd.) Kuo	THELYPTERIDACEAE\n羽葉新月蕨 
Pseudophegopteris paludosa (Bl.) Ching	THELYPTERIDACEAE\n毛囊紫柄蕨 
Pseudophegopteris subaurita (Tagawa) Ching	THELYPTERIDACEAE\n光囊紫柄蕨 
Pseudophegopteris aurita (Hook.) Ching	THELYPTERIDACEAE\n耳羽紫柄蕨 
Stegnogramma dictyoclinoides Ching	THELYPTERIDACEAE\n溪邊蕨 
Thelypteris auriculata (J. Sm.) K. Iwats.	THELYPTERIDACEAE\n截葉金星蕨 
Thelypteris erubescens (Wall. ex Hook.) Ching	THELYPTERIDACEAE\n大葉金星蕨 
Thelypteris × erubesquirolica Shieh & Tsai	THELYPTERIDACEAE\n大斜金星蕨 
Thelypteris esquirolii (Christ) Ching	THELYPTERIDACEAE\n斜葉金星蕨 
Thelypteris laxa (Franch. & Sav.) Ching	THELYPTERIDACEAE\n柔葉金星蕨 
Thelypteris omeiensis (Bak.) Ching	THELYPTERIDACEAE\n擬茯蕨 
Thelypteris ornata (Wall. ex Bedd.) Ching	THELYPTERIDACEAE\n刺柄金星蕨 
Thelypteris torresiana (Gaud.) Alston	THELYPTERIDACEAE\n粗毛金星蕨 
Thelypteris uraiensis (Rosenst.) Ching	THELYPTERIDACEAE\n烏來金星蕨\n毛柄凸軸蕨\n 
Thelypteris japonica (Bak.) Ching	THELYPTERIDACEAE\n栗柄金星蕨 
Athyrium anisopterum Christ	ATHYRIACEAE\n宿蹄蓋蕨 
Athyrium arisanense (Hayata) Tagawa	ATHYRIACEAE\n阿里山蹄蓋蕨 
Athyrium atkinsonii Beddome	ATHYRIACEAE\n亞德氏蹄蓋蕨 
Athyrium boryanum (Willd.) Tagawa	ATHYRIACEAE\n波氏蹄蓋蕨 
Athyrium cryptogrammoides Hayata	ATHYRIACEAE\n合歡山蹄蓋蕨 
Athyrium drepanopterum (Kunze) A. Br. ex Milde	ATHYRIACEAE\n細裂蹄蓋蕨 
Athyrium erythropodum Hayata	ATHYRIACEAE\n紅柄蹄蓋蕨 
Athyrium fragile Tardieu	ATHYRIACEAE\n花蓮蹄蓋蕨 
Athyrium iseanum Rosenst.	ATHYRIACEAE\n細葉蹄蓋蕨 
Athyrium japonicum (Thunb.) Copel.	ATHYRIACEAE\n東洋蹄蓋蕨 
Athyrium nakanoi Makino	ATHYRIACEAE\n紅苞蹄蓋蕨 
Athyrium niponicum (Mett.) Hance	ATHYRIACEAE\n日本蹄蓋蕨 
Athyrium oppositipinnum Hayata	ATHYRIACEAE\n對生蹄蓋蕨 
Athyrium pycnosorum Christ	ATHYRIACEAE\n深山蹄蓋蕨 
Athyrium reflexipinnum Hayata	ATHYRIACEAE\n逆葉蹄蓋蕨 
Athyrium silvicolum Tagawa	ATHYRIACEAE\n高山蹄蓋蕨 
Athyrium subrigescens (Hayata) Hayata ex H. Ito	ATHYRIACEAE\n姬蹄蓋蕨 
Athyrium tozanense (Hayata) Hayata	ATHYRIACEAE\n蓬萊蹄蓋蕨 
Athyrium unifurcatum (Bak.) C. Chr.	ATHYRIACEAE\n擬大蹄蓋蕨 
Athyrium vidalii (Fr. & Sav.) Nakai	ATHYRIACEAE\n山蹄蓋蕨 
Athyrium auriculatum Serizawa	ATHYRIACEAE\n耳垂蹄蓋蕨 
Athyrium delavayii Christ	ATHYRIACEAE\n溪谷蹄蓋蕨\n蹄蓋蕨\n 
Athyrium epirachis (Christ) Ching	ATHYRIACEAE\n軸果蹄蓋蕨 
Athyrium foliolosum Sim.	ATHYRIACEAE\n薄葉蹄蓋蕨 
Athyrium kuratae Serizawa	ATHYRIACEAE\n倉田氏蹄蓋蕨 
Athyrium leiopodum (Hayata) Tagawa	ATHYRIACEAE\n小葉蹄蓋蕨 
Athyrium nigripes (Blume) T. Moore	ATHYRIACEAE\n黑足蹄蓋蕨 
Athyrium strigillosum (Lowe) Salomon	ATHYRIACEAE\n生芽蹄蓋蕨 
Athyrium × pseudocryptogrammoides Yoshikawa	ATHYRIACEAE\n擬合歡蹄蓋蕨 
Athyrium × purpurascens (Tagawa) Kurata	ATHYRIACEAE\n紫柄蹄蓋蕨 
Cornopteris decurrentialatum (Hook.) Nakai	ATHYRIACEAE\n貞蕨 
Cornopteris fluvialis (Hayata) Tagawa	ATHYRIACEAE\n大葉貞蕨 
Cornopteris opaca (Don) Tagawa	ATHYRIACEAE\n黑葉貞蕨 
Cornopteris philippinensis M. Kato	ATHYRIACEAE\n菲律賓貞蕨 
Cystopteris fragilis (L.) Bernh.	ATHYRIACEAE\n冷蕨 
Cystopteris japonica Luerss.	ATHYRIACEAE\n毛冷蕨 
Cystopteris moupinensis Franchet	ATHYRIACEAE\n寬葉冷蕨 
Cystopteris tenuisecta (Bl.) Mett.	ATHYRIACEAE\n粗柄毛冷蕨 
Diplaziopsis javanica (Bl.) C. Chr.	ATHYRIACEAE\n腸蕨 
Diplazium amamianum Tagawa	ATHYRIACEAE\n奄美雙蓋蕨 
Diplazium asperum Bl.	ATHYRIACEAE\n粗柄雙蓋蕨\n糙柄雙蓋蕨\n 
Diplazium chinense (Bak.) C. Chr.	ATHYRIACEAE\n華雙蓋蕨 
Diplazium dilatatum Blume	ATHYRIACEAE\n廣葉鋸齒雙蓋蕨 
Diplazium doederleinii (Luerss.) Makino	ATHYRIACEAE\n德氏雙蓋蕨 
Diplazium donianum (Mett.) Tard.-Blot	ATHYRIACEAE\n細柄雙蓋蕨 
Diplazium esculentum (Retz.) Sw.	ATHYRIACEAE\n過溝菜蕨 
Diplazium formosanum Rosenst.	ATHYRIACEAE\n網脈雙蓋蕨 
Diplazium incomptum Tagawa	ATHYRIACEAE\n翅柄雙蓋蕨 
Diplazium kawakamii Hayata	ATHYRIACEAE\n川上氏雙蓋蕨 
Diplazium lobatum (Tagawa) Tagawa	ATHYRIACEAE\n裂葉雙蓋蕨 
Diplazium megaphyllum (Bak.) Christ	ATHYRIACEAE\n大葉雙蓋蕨\n霧社雙蓋蕨\n 
Diplazium mettenianum (Miq.) C. Chr.	ATHYRIACEAE\n深山雙蓋蕨 
Diplazium petri Tard.-Blot	ATHYRIACEAE\n廣葉深山雙蓋蕨 
Diplazium pseudodoederleinii Hayata	ATHYRIACEAE\n擬德氏雙蓋蕨 
Diplazium pullingeri (Bak.) J. Sm.	ATHYRIACEAE\n樸氏雙蓋蕨 
Diplazium squamigerum (Mett.) Matsum.	ATHYRIACEAE\n長苞雙蓋蕨\n鱗柄雙蓋蕨\n 
Diplazium subsinuatum (Wall. ex Hook. & Grev.) Tagawa	ATHYRIACEAE\n單葉雙蓋蕨 
Diplazium taiwanense Tagawa	ATHYRIACEAE\n台灣雙蓋蕨 
Diplazium virescens Kunze	ATHYRIACEAE\n刺柄雙蓋蕨 
Diplazium wichurae (Mett.) Diels	ATHYRIACEAE\n鋸齒雙蓋蕨 
Diplazium agyokuense Tagawa	ATHYRIACEAE\n阿玉雙蓋蕨 
Diplazium contermina Christ	ATHYRIACEAE\n邊生雙蓋蕨 
Diplazium kappanensis Hayata	ATHYRIACEAE\n角板山雙蓋蕨 
Diplazium laxifrons Rosenst.	ATHYRIACEAE\n疏葉雙蓋蕨 
Diplazium okudairai Makino	ATHYRIACEAE\n假耳羽雙蓋蕨 
Diplazium okinawaensis Tagawa	ATHYRIACEAE\n琉球雙蓋蕨 
Gymnocarpium oyamense (Bak.) Ching	ATHYRIACEAE\n羽節蕨 
Gymnocarpium remotepinnatum (Hayata) Ching	ATHYRIACEAE\n細裂羽節蕨 
Woodsia okamotoi Tagawa	ATHYRIACEAE\n岡本氏岩蕨 
Woodsia polystichoides Eat.	ATHYRIACEAE\n岩蕨 
Acystopteris taiwaniana (Tagawa) Á. Löve & D. Löve	ATHYRIACEAE\n台灣亮毛蕨 
Asplenium adiantoides (L.) C. Chr.	ASPLENIACEAE\n革葉鐵角蕨 
Asplenium adiantumnigrum L.	ASPLENIACEAE\n深山鐵角蕨 
Asplenium antiquum Makino	ASPLENIACEAE\n山蘇花 
Asplenium bullatum Wall. ex Mett.	ASPLENIACEAE\n大鐵角蕨 
Asplenium capillipes Makino	ASPLENIACEAE\n姬鐵角蕨 
Asplenium cheilosorum Kunze ex Mett.	ASPLENIACEAE\n薄葉孔雀鐵角蕨 
Asplenium cuneatiforme Christ	ASPLENIACEAE\n大蓬萊鐵角蕨 
Asplenium ensiforme Wall. ex Hook. & Grev.	ASPLENIACEAE\n劍葉鐵角蕨 
Asplenium excisum Presl	ASPLENIACEAE\n剪葉鐵角蕨 
Asplenium formosae Christ	ASPLENIACEAE\n南海鐵角蕨 
Asplenium griffithianum Hook.	ASPLENIACEAE\n叢葉鐵角蕨 
Asplenium incisum Thunb.	ASPLENIACEAE\n縮羽鐵角蕨 
Asplenium laciniatum D. Don	ASPLENIACEAE\n鱗柄鐵角蕨 
Asplenium neolaserpitiifolium Tardieu & Ching	ASPLENIACEAE\n大黑柄鐵角蕨\n黃鱗鐵角蕨\n 
Asplenium nidus L.	ASPLENIACEAE\n台灣山蘇花 
Asplenium normale Don	ASPLENIACEAE\n生芽鐵角蕨 
Asplenium obscurum Bl.	ASPLENIACEAE\n綠柄剪葉鐵角蕨 
Asplenium oldhami Hance	ASPLENIACEAE\n俄氏鐵角蕨 
Asplenium planicaule Wall. ex Hook.	ASPLENIACEAE\n斜葉鐵角蕨 
Asplenium prolongatum Hook.	ASPLENIACEAE\n長生鐵角蕨 
Asplenium pulcherrimum (Bak.) Ching	ASPLENIACEAE\n細葉鐵角蕨 
Asplenium ritoense Hayata	ASPLENIACEAE\n尖葉鐵角蕨 
Asplenium rutamuraria L.	ASPLENIACEAE\n銀杏葉鐵角蕨 
Asplenium septentrionale (L.) Hoffm.	ASPLENIACEAE\n線葉鐵角蕨 
Asplenium serricula Fée	ASPLENIACEAE\n蘭嶼鐵角蕨 
Asplenium shikokianum Makino	ASPLENIACEAE\n四國鐵角蕨 
Asplenium tenerum Forst.	ASPLENIACEAE\n鈍齒鐵角蕨 
Asplenium tenuicaule Hayata	ASPLENIACEAE\n小葉鐵角蕨 
Asplenium tenuifolium Don	ASPLENIACEAE\n薄葉鐵角蕨 
Asplenium trichomanes L.	ASPLENIACEAE\n鐵角蕨 
Asplenium tripteropus Nakai	ASPLENIACEAE\n三翅鐵角蕨 
Asplenium unilaterale Lam.	ASPLENIACEAE\n單邊鐵角蕨 
Asplenium viride Hudson	ASPLENIACEAE\n綠柄鐵角蕨 
Asplenium wrightii Eaton	ASPLENIACEAE\n萊氏鐵角蕨 
Asplenium yunnanense Franch.	ASPLENIACEAE\n雲南鐵角蕨 
Asplenium apogamum Murakami et Hatanaka	ASPLENIACEAE\n無配鐵角蕨 
Asplenium australasicum (J. Sm.) Hook.	ASPLENIACEAE\n南洋山蘇花 
Asplenium filipes Copel.	ASPLENIACEAE\n複齒鐵角蕨 
Asplenium lobulatum Mett. ex Kuhn	ASPLENIACEAE\n裂葉鐵角蕨 
Asplenium pekinense Hance	ASPLENIACEAE\n北京鐵角蕨 
Asplenium pseudolaserpitiifoliom Ching	ASPLENIACEAE\n黑鱗鐵角蕨 
Asplenium subnormale Copel.	ASPLENIACEAE\n小鐵角蕨 
Asplenium × wangii Kuo	ASPLENIACEAE\n王氏鐵角蕨 
Asplenium wilfordii Mett. ex Kuhn.	ASPLENIACEAE\n威氏鐵角蕨 
Asplenium scolopendrium L.	ASPLENIACEAE\n對開蕨 
Dipteris conjugata Reinw.	DIPTERIDACEAE\n雙扇蕨 
Cheiropleuria bicuspis (Bl.) Presl	CHEIROPLEURIACEAE\n燕尾蕨 
Aglaomorpha meyeniana Schott	POLYPODIACEAE\n連珠蕨 
Arthromeris lehmannii (Mett.) Ching	POLYPODIACEAE\n肢節蕨 
Belvisia mucronata (Fée ) Copel.	POLYPODIACEAE\n尖嘴蕨 
Colysis hemionitidea (Wall.) Presl	POLYPODIACEAE\n斷線蕨 
Colysis pothifolia (Don) Presl	POLYPODIACEAE\n大線蕨\n橢圓線蕨\n 
Colysis shintenensis (Hayata) H. Ito	POLYPODIACEAE\n新店線蕨 
Colysis wrightii (Hook.) Ching	POLYPODIACEAE\n萊氏線蕨 
Colysis elliptica (Thunb.) Ching	POLYPODIACEAE\n橢圓線蕨 
Crypsinus echinosporus (Tagawa) Tagawa	POLYPODIACEAE\n大葉玉山茀蕨 
Crypsinus engleri (Luerss.) Copel.	POLYPODIACEAE\n恩氏茀蕨 
Crypsinus hastatus (Thunb.) Copel.	POLYPODIACEAE\n三葉茀蕨 
Crypsinus okamotoi (Tagawa) Tagawa	POLYPODIACEAE\n岡本氏茀蕨 
Crypsinus quasidivaricatus (Hayata) Copel.	POLYPODIACEAE\n玉山茀蕨 
Crypsinus taeniatus (Sw.) Copel. var. palmatus (Bl.) Tagawa	POLYPODIACEAE\n掌葉茀蕨 
Crypsinus taiwanensis (Tagawa) Tagawa	POLYPODIACEAE\n台灣茀蕨 
Crypsinus yakushimensis (Makino) Tagawa	POLYPODIACEAE\n姬茀蕨 
Drymotaenium miyoshianum (Makino) Makino	POLYPODIACEAE\n二條線蕨 
Drynaria fortunei (Kunze) J. Sm.	POLYPODIACEAE\n槲蕨 
Lemmaphyllum diversum (Rosenst.) Tagawa	POLYPODIACEAE\n骨牌蕨 
Lemmaphyllum microphyllum Presl	POLYPODIACEAE\n抱樹蕨\n伏石蕨\n 
Lepisorus clathratus (Clarke) Ching	POLYPODIACEAE\n網眼瓦葦 
Lepisorus kawakamii (Hayata) Tagawa	POLYPODIACEAE\n鱗瓦葦 
Lepisorus kuchenensis (Wu) Ching	POLYPODIACEAE\n猺山瓦葦 
Lepisorus megasorus (C. Chr.) Ching	POLYPODIACEAE\n長柄瓦葦 
Lepisorus monilisorus (Hayata) Tagawa	POLYPODIACEAE\n擬笈瓦葦 
